CUST_ID,INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,GAMBLING_CAT,CREDIT_SCORE
C00A83JNR4,219345,720705,1331738,3.2857,6.0714,1.8478,15040,5208,0.3463,0.0686,0.0209,0.0113,0,0,0.5035,0.0,0.0,0.0,28703,14608,0.5089,0.1309,0.0398,0.0216,0,0,1.1492,0.0,0.0,0.0,0,0,0.5681,0.0,0.0,0.0,30914,15905,0.5145,0.1409,0.0429,0.0232,14426,5586,0.3872,0.0658,0.02,0.0108,40228,20359,0.5061,0.1834,0.0558,0.0302,12429,6222,0.5006,0.0567,0.0172,0.0093,0,0,0.4227,0.0,0.0,0.0,14935,7499,0.5021,0.0681,0.0207,0.0112,156675,75387,0.4812,0.7143,0.2174,0.1176,No,649
C01OIZPW5S,139393,1129083,794540,8.1,5.7,0.7037,3913,1050,0.2683,0.0281,0.0035,0.0049,0,0,0.503,0.0,0.0,0.0,5621,2848,0.5067,0.0403,0.005,0.0071,0,0,0.9088,0.0,0.0,0.0,0,0,0.4572,0.0,0.0,0.0,39296,18240,0.4642,0.2819,0.0348,0.0495,6853,1589,0.2319,0.0492,0.0061,0.0086,45960,23260,0.5061,0.3297,0.0407,0.0578,4631,2318,0.5005,0.0332,0.0041,0.0058,21967,1815,0.0826,0.1576,0.0195,0.0276,11152,5587,0.501,0.08,0.0099,0.014,139393,56707,0.4068,1.0,0.1235,0.1754,No,662
C01UL9RQTT,45349,27209,204070,0.6,4.5,7.5001,6580,3385,0.5144,0.1451,0.2418,0.0322,4151,2088,0.503,0.0915,0.1526,0.0203,12440,6409,0.5152,0.2743,0.4572,0.061,0,0,0.8272,0.0,0.0,0.0,0,0,0.4652,0.0,0.0,0.0,4278,2204,0.5152,0.0943,0.1572,0.021,2224,1006,0.4523,0.049,0.0817,0.0109,11892,6018,0.5061,0.2622,0.4371,0.0583,1723,864,0.5015,0.038,0.0633,0.0084,0,0,0.8845,0.0,0.0,0.0,2061,1031,0.5002,0.0454,0.0757,0.0101,45349,23005,0.5073,1.0,1.6667,0.2222,No,614
C028BWZ221,177668,888342,2398523,5.0,13.5,2.7,8984,3958,0.4406,0.0506,0.0101,0.0037,0,0,0.5014,0.0,0.0,0.0,7424,3851,0.5187,0.0418,0.0084,0.0031,0,0,1.0143,0.0,0.0,0.0,0,0,0.5866,0.0,0.0,0.0,57268,29643,0.5176,0.3223,0.0645,0.0239,10503,7157,0.6814,0.0591,0.0118,0.0044,0,0,0.506,0.0,0.0,0.0,6175,3092,0.5007,0.0348,0.007,0.0026,42908,20640,0.481,0.2415,0.0483,0.0179,14795,7412,0.501,0.0833,0.0167,0.0062,148057,75753,0.5116,0.8333,0.1667,0.0617,No,525
C05H7D1NS5,80154,140270,387411,1.75,4.8333,2.7619,2444,801,0.3277,0.0305,0.0174,0.0063,0,0,0.5013,0.0,0.0,0.0,19845,10192,0.5136,0.2476,0.1415,0.0512,533,186,0.349,0.0066,0.0038,0.0014,0,0,0.5108,0.0,0.0,0.0,21178,10790,0.5095,0.2642,0.151,0.0547,3797,2575,0.6782,0.0474,0.0271,0.0098,0,0,0.5062,0.0,0.0,0.0,8639,4325,0.5006,0.1078,0.0616,0.0223,0,0,0.5206,0.0,0.0,0.0,10359,5193,0.5013,0.1292,0.0739,0.0267,66795,34062,0.5099,0.8333,0.4762,0.1724,No,629
C0BXOGYEX0,179984,235363,650710,1.3077,3.6154,2.7647,19990,8778,0.4391,0.1111,0.0849,0.0307,8722,4379,0.5021,0.0485,0.0371,0.0134,33021,16899,0.5118,0.1835,0.1403,0.0507,0,0,0.5878,0.0,0.0,0.0,0,0,0.5809,0.0,0.0,0.0,35786,18455,0.5157,0.1988,0.152,0.055,10401,6197,0.5958,0.0578,0.0442,0.016,0,0,0.506,0.0,0.0,0.0,13208,6011,0.4551,0.0734,0.0561,0.0203,0,0,0.2401,0.0,0.0,0.0,17321,8724,0.5037,0.0962,0.0736,0.0266,138449,69443,0.5016,0.7692,0.5882,0.2128,No,656
C0DBIXVMHC,264221,2377990,4107437,9.0,15.5455,1.7273,9986,5704,0.5712,0.0378,0.0042,0.0024,0,0,0.5054,0.0,0.0,0.0,10205,6065,0.5943,0.0386,0.0043,0.0025,0,0,0.839,0.0,0.0,0.0,0,0,0.4172,0.0,0.0,0.0,64986,33568,0.5165,0.246,0.0273,0.0158,7676,1918,0.2499,0.0291,0.0032,0.0019,69241,35043,0.5061,0.2621,0.0291,0.0169,6977,3493,0.5006,0.0264,0.0029,0.0017,54334,34388,0.6329,0.2056,0.0228,0.0132,16796,8445,0.5028,0.0636,0.0071,0.0041,240201,128624,0.5355,0.9091,0.101,0.0585,No,517
C0DTRLGPC6,29395,388666,55524,13.2222,1.8889,0.1429,731,0,0.4946,0.0249,0.0019,0.0132,0,0,0.5047,0.0,0.0,0.0,5532,2808,0.5076,0.1882,0.0142,0.0996,0,0,0.6608,0.0,0.0,0.0,434,220,0.5069,0.0148,0.0011,0.0078,6813,3512,0.5155,0.2318,0.0175,0.1227,4712,881,0.187,0.1603,0.0121,0.0849,11572,5856,0.506,0.3937,0.0298,0.2084,300,150,0.5,0.0102,0.0008,0.0054,0,0,0.2751,0.0,0.0,0.0,2567,1286,0.501,0.0873,0.0066,0.0462,32661,14713,0.4505,1.1111,0.084,0.5882,Low,650
C0EZ058V8J,119500,945133,706134,7.9091,5.9091,0.7471,3824,2416,0.6318,0.032,0.004,0.0054,16225,8160,0.5029,0.1358,0.0172,0.023,4397,2249,0.5115,0.0368,0.0047,0.0062,0,0,0.6465,0.0,0.0,0.0,1485,809,0.5448,0.0124,0.0016,0.0021,33440,17261,0.5162,0.2798,0.0354,0.0474,2073,1022,0.493,0.0173,0.0022,0.0029,35545,17989,0.5061,0.2974,0.0376,0.0503,2986,1794,0.6008,0.025,0.0032,0.0042,0,0,0.4748,0.0,0.0,0.0,8661,4371,0.5047,0.0725,0.0092,0.0123,108636,56071,0.5161,0.9091,0.1149,0.1538,High,590
C0MJQEM0CM,374612,599378,1798135,1.6,4.8,3.0,8088,5414,0.6694,0.0216,0.0135,0.0045,8007,4048,0.5056,0.0214,0.0134,0.0045,30492,15414,0.5055,0.0814,0.0509,0.017,0,0,1.0942,0.0,0.0,0.0,0,0,0.5054,0.0,0.0,0.0,32939,16984,0.5156,0.0879,0.055,0.0183,7681,3959,0.5154,0.0205,0.0128,0.0043,42976,21750,0.5061,0.1147,0.0717,0.0239,12171,5539,0.4551,0.0325,0.0203,0.0068,91359,43338,0.4744,0.2439,0.1524,0.0508,16028,8066,0.5032,0.0428,0.0267,0.0089,249741,124512,0.4986,0.6667,0.4167,0.1389,No,605
C0Q1F2ANWJ,11923,0,20269,0.0,1.7,14.8041,1010,734,0.7267,0.0847,0.0,0.0498,0,0,0.5013,0.0,0.0,0.0,1787,912,0.5104,0.1499,0.5556,0.0882,0,0,1.3105,0.0,0.0003,0.0,0,0,0.4685,0.0,0.0,0.0,2652,1428,0.5385,0.2224,0.0,0.1308,703,437,0.6216,0.059,0.0,0.0347,0,0,0.5061,0.0,0.0,0.0,0,0,0.5987,0.0,0.0,0.0,5226,2967,0.5677,0.4383,0.1145,0.2578,545,274,0.5028,0.0457,0.0502,0.0269,11923,6752,0.5663,1.0,0.6382,0.5882,No,628
C0QEED3QUX,140236,537570,1262120,3.8333,9.0,2.3478,21871,18563,0.8487,0.156,0.0407,0.0173,5161,2584,0.5007,0.0368,0.0096,0.0041,26549,17003,0.6404,0.1893,0.0494,0.021,0,0,0.304,0.0,0.0,0.0,10102,4618,0.4571,0.072,0.0188,0.008,23628,13316,0.5636,0.1685,0.044,0.0187,12065,7338,0.6082,0.086,0.0224,0.0096,0,0,0.5062,0.0,0.0,0.0,7154,3581,0.5006,0.051,0.0133,0.0057,0,0,0.3435,0.0,0.0,0.0,10333,5165,0.4999,0.0737,0.0192,0.0082,116863,72168,0.6175,0.8333,0.2174,0.0926,High,512
C0R8JBHHTT,94846,75877,569076,0.8,6.0,7.5,21453,9123,0.4253,0.2262,0.2827,0.0377,0,0,0.5015,0.0,0.0,0.0,30364,15562,0.5125,0.3201,0.4002,0.0534,0,0,0.4737,0.0,0.0,0.0,15776,9537,0.6045,0.1663,0.2079,0.0277,11860,6958,0.5867,0.125,0.1563,0.0208,6753,4422,0.6548,0.0712,0.089,0.0119,0,0,0.5062,0.0,0.0,0.0,3742,1703,0.4551,0.0395,0.0493,0.0066,0,0,0.3324,0.0,0.0,0.0,4898,2457,0.5016,0.0516,0.0646,0.0086,94846,49762,0.5247,1.0,1.25,0.1667,High,559
C0TMUSKDCW,145561,166355,519860,1.1429,3.5714,3.125,6537,2859,0.4374,0.0449,0.0393,0.0126,2724,1364,0.5007,0.0187,0.0164,0.0052,12714,7576,0.5959,0.0873,0.0764,0.0245,0,0,0.9261,0.0,0.0,0.0,5569,2743,0.4925,0.0383,0.0335,0.0107,11257,5820,0.517,0.0773,0.0677,0.0217,4565,1972,0.432,0.0314,0.0274,0.0088,14670,7425,0.5061,0.1008,0.0882,0.0282,4533,2269,0.5006,0.0311,0.0272,0.0087,35925,22590,0.6288,0.2468,0.216,0.0691,5478,2771,0.5058,0.0376,0.0329,0.0105,103972,57389,0.552,0.7143,0.625,0.2,High,579
C0VBAASNLZ,134321,604444,2471506,4.5,18.4,4.0889,5726,962,0.168,0.0426,0.0095,0.0023,26629,13382,0.5025,0.1982,0.0441,0.0108,7150,3631,0.5078,0.0532,0.0118,0.0029,0,0,0.7789,0.0,0.0,0.0,2712,1433,0.5284,0.0202,0.0045,0.0011,49687,23125,0.4654,0.3699,0.0822,0.0201,7157,457,0.0639,0.0533,0.0118,0.0029,0,0,0.5061,0.0,0.0,0.0,5895,2951,0.5006,0.0439,0.0098,0.0024,15130,2171,0.1435,0.1126,0.025,0.0061,14235,7153,0.5025,0.106,0.0236,0.0058,134321,55265,0.4114,1.0,0.2222,0.0543,High,526
C0W7UJI822,81517,1206452,122276,14.8,1.5,0.1014,2517,1732,0.6881,0.0309,0.0021,0.0206,0,0,0.5025,0.0,0.0,0.0,9003,4517,0.5017,0.1104,0.0075,0.0736,0,0,0.4437,0.0,0.0,0.0,0,0,0.4949,0.0,0.0,0.0,11253,5820,0.5172,0.138,0.0093,0.092,7771,3919,0.5043,0.0953,0.0064,0.0636,19005,9618,0.5061,0.2331,0.0158,0.1554,420,210,0.5,0.0052,0.0003,0.0034,27352,17056,0.6236,0.3355,0.0227,0.2237,4196,2105,0.5017,0.0515,0.0035,0.0343,81517,44977,0.5517,1.0,0.0676,0.6667,No,642
C0X37HEWKR,0,21831,26326,6.1359,0.281,1.2059,0,0,0.7095,0.0855,0.0,0.0,0,0,0.5066,0.0605,0.0,0.0,0,0,0.5112,0.0699,0.0,0.0,0,0,0.1515,0.0,0.0,0.0,0,0,0.4948,0.0541,0.0,0.0,364,201,0.5522,0.2988,0.0167,0.0138,121,94,0.7769,0.0,0.0055,0.0046,0,0,0.506,0.2637,0.0,0.0,0,0,0.4606,0.0264,0.0,0.0,5775,4178,0.7235,0.5627,0.2645,0.2194,161,80,0.4969,0.0829,0.0074,0.0061,6421,4553,0.7091,1.0167,0.2941,0.2439,No,548
C0XA5YENMG,57343,78195,67769,1.3636,1.1818,0.8667,4898,3070,0.6268,0.0854,0.0626,0.0723,0,0,0.5028,0.0,0.0,0.0,11367,5826,0.5125,0.1982,0.1454,0.1677,0,0,0.9636,0.0,0.0,0.0,0,0,0.5018,0.0,0.0,0.0,3920,2027,0.5171,0.0684,0.0501,0.0578,1585,921,0.5811,0.0276,0.0203,0.0234,0,0,0.5062,0.0,0.0,0.0,1572,786,0.5,0.0274,0.0201,0.0232,26900,13317,0.4951,0.4691,0.344,0.3969,1888,947,0.5016,0.0329,0.0241,0.0279,52130,26894,0.5159,0.9091,0.6667,0.7692,No,633
C0XSDFCQJR,102400,378091,984612,3.6923,9.6154,2.6042,9322,3722,0.3993,0.091,0.0247,0.0095,0,0,0.5,0.0,0.0,0.0,12927,6572,0.5084,0.1262,0.0342,0.0131,0,0,0.2998,0.0,0.0,0.0,7376,3870,0.5247,0.072,0.0195,0.0075,14126,7307,0.5173,0.1379,0.0374,0.0143,4105,2537,0.618,0.0401,0.0109,0.0042,18380,9302,0.5061,0.1795,0.0486,0.0187,5679,2843,0.5006,0.0555,0.015,0.0058,0,0,0.3371,0.0,0.0,0.0,6854,3445,0.5026,0.0669,0.0181,0.007,78769,39598,0.5027,0.7692,0.2083,0.08,High,546
C11SG3V4Q1,106691,170706,42676,1.6,0.4,0.25,10850,7338,0.6763,0.1017,0.0636,0.2542,0,0,0.5047,0.0,0.0,0.0,20173,10119,0.5016,0.1891,0.1182,0.4727,0,0,0.5654,0.0,0.0,0.0,0,0,0.4444,0.0,0.0,0.0,6884,3561,0.5173,0.0645,0.0403,0.1613,2025,1222,0.6035,0.019,0.0119,0.0475,19155,9694,0.5061,0.1795,0.1122,0.4488,2543,1157,0.455,0.0238,0.0149,0.0596,41715,21682,0.5198,0.391,0.2444,0.9775,3346,1677,0.5012,0.0314,0.0196,0.0784,106691,56450,0.5291,1.0,0.625,2.5,No,666
C11YWXDI1U,77806,140051,108928,1.8,1.4,0.7778,4462,2185,0.4897,0.0573,0.0319,0.041,0,0,0.4992,0.0,0.0,0.0,27259,14101,0.5173,0.3503,0.1946,0.2502,0,0,0.8589,0.0,0.0,0.0,0,0,0.4563,0.0,0.0,0.0,9030,4515,0.5,0.1161,0.0645,0.0829,3163,493,0.1559,0.0407,0.0226,0.029,0,0,0.5062,0.0,0.0,0.0,3438,1878,0.5462,0.0442,0.0245,0.0316,25937,3643,0.1405,0.3334,0.1852,0.2381,4517,2261,0.5006,0.0581,0.0323,0.0415,77806,29076,0.3737,1.0,0.5556,0.7143,No,699
C12K2ZTDML,0,14198,61805,3.3184,9.2746,4.3531,0,0,0.407,0.0536,0.0,0.0,0,0,0.505,0.0743,0.0,0.0,0,0,0.5435,0.1986,0.0,0.0,0,0,0.7709,0.0003,0.0,0.0,334,153,0.4581,0.0,0.0235,0.0054,556,286,0.5144,0.1698,0.0392,0.009,78,16,0.2051,0.0906,0.0055,0.0013,767,388,0.5059,0.1948,0.054,0.0124,0,0,0.5016,0.0248,0.0,0.0,6352,3720,0.5856,0.4872,0.4474,0.1028,265,133,0.5019,0.0398,0.0187,0.0043,8352,4696,0.5623,0.9555,0.5883,0.1351,Low,557
C14S617AG4,93118,1014986,55871,10.9,0.6,0.055,3994,3204,0.8022,0.0429,0.0039,0.0715,0,0,0.5041,0.0,0.0,0.0,9334,4754,0.5093,0.1002,0.0092,0.1671,0,0,0.7965,0.0,0.0,0.0,757,343,0.4531,0.0081,0.0007,0.0135,13975,8388,0.6002,0.1501,0.0138,0.2501,8107,4095,0.5051,0.0871,0.008,0.1451,19546,9892,0.5061,0.2099,0.0193,0.3498,516,258,0.5,0.0055,0.0005,0.0092,32567,22211,0.682,0.3497,0.0321,0.5829,4322,2173,0.5028,0.0464,0.0043,0.0774,93118,55318,0.5941,1.0,0.0917,1.6667,Low,606
C155JRFA29,282643,787363,1170950,2.7857,4.1429,1.4872,16992,4590,0.2701,0.0601,0.0216,0.0145,0,0,0.5049,0.0,0.0,0.0,23116,11491,0.4971,0.0818,0.0294,0.0197,0,0,0.7566,0.0,0.0,0.0,0,0,0.4796,0.0,0.0,0.0,25597,13241,0.5173,0.0906,0.0325,0.0219,8905,3040,0.3414,0.0315,0.0113,0.0076,33455,16932,0.5061,0.1184,0.0425,0.0286,9475,4312,0.4551,0.0335,0.012,0.0081,71883,34086,0.4742,0.2543,0.0913,0.0614,12465,6247,0.5012,0.0441,0.0158,0.0106,201888,93939,0.4653,0.7143,0.2564,0.1724,No,724
C15E1FQ0RO,17093,6410,81191,0.375,4.75,12.6663,549,195,0.3552,0.0321,0.0856,0.0068,0,0,0.504,0.0,0.0,0.0,3450,1742,0.5049,0.2018,0.5382,0.0425,0,0,0.4783,0.0,0.0,0.0,1264,659,0.5214,0.0739,0.1972,0.0156,4473,2120,0.474,0.2617,0.6978,0.0551,403,155,0.3846,0.0236,0.0629,0.005,0,0,0.5061,0.0,0.0,0.0,0,0,0.5306,0.0,0.0,0.0,10182,1679,0.1649,0.5957,1.5885,0.1254,1045,526,0.5033,0.0611,0.163,0.0129,21366,7076,0.3312,1.25,3.3332,0.2632,High,627
C16TMH6OD7,18460,3356,0,0.1818,0.0,0.0,197,103,0.5228,0.0107,0.0587,0.0,0,0,0.501,0.0,0.0,0.0178,6264,3179,0.5075,0.3393,1.8665,0.398,0,0,0.8907,0.0,0.0,0.0,0,0,0.5749,0.0,0.0,0.0,992,512,0.5161,0.0537,0.2956,0.0,0,0,0.0397,0.0,0.0,0.1103,0,0,0.5062,0.0,0.0,0.1534,0,0,0.5263,0.0,0.0,0.0101,9329,4941,0.5296,0.5054,2.7798,0.1657,0,0,0.503,0.0,0.0,0.0,16782,8735,0.5205,0.9091,5.0006,1.8541,No,691
C175KFI7KG,194926,299886,1289510,1.5385,6.6154,4.3,14873,7492,0.5037,0.0763,0.0496,0.0115,0,0,0.5015,0.0,0.0,0.0,27845,13932,0.5003,0.1428,0.0929,0.0216,0,0,0.853,0.0,0.0,0.0,0,0,0.5858,0.0,0.0,0.0,30151,15625,0.5182,0.1547,0.1005,0.0234,11961,5134,0.4292,0.0614,0.0399,0.0093,39383,19932,0.5061,0.202,0.1313,0.0305,11155,5078,0.4552,0.0572,0.0372,0.0087,0,0,0.3895,0.0,0.0,0.0,14575,7296,0.5006,0.0748,0.0486,0.0113,149943,74489,0.4968,0.7692,0.5,0.1163,No,645
C17E91KTG7,5605,2802,0,0.4999,0.0,0.0,70,56,0.8,0.0125,0.025,0.0454,0,0,0.5033,0.0,0.0,0.01,3438,2118,0.6161,0.6134,1.227,0.082,0,0,1.0672,0.0,0.0,0.0013,0,0,0.5605,0.0,0.0,0.0,436,230,0.5275,0.0778,0.1556,0.0939,0,0,0.4724,0.0,0.0,0.1344,0,0,0.5061,0.0,0.0,0.2693,0,0,0.5199,0.0,0.0,0.0,5397,2570,0.4762,0.9629,1.9261,0.0,0,0,0.5029,0.0,0.0,0.028,9341,4974,0.5325,1.6665,3.3337,0.9514,No,625
C182FG2UNQ,175325,350650,1127088,2.0,6.4286,3.2143,11710,6925,0.5914,0.0668,0.0334,0.0104,0,0,0.5054,0.0,0.0,0.0,18065,9201,0.5093,0.103,0.0515,0.016,0,0,0.9709,0.0,0.0,0.0,0,0,0.3802,0.0,0.0,0.0,19853,10251,0.5163,0.1132,0.0566,0.0176,8124,5829,0.7175,0.0463,0.0232,0.0072,0,0,0.5061,0.0,0.0,0.0,7990,4000,0.5006,0.0456,0.0228,0.0071,49833,26360,0.529,0.2842,0.1421,0.0442,9657,4842,0.5014,0.0551,0.0275,0.0086,125232,67408,0.5383,0.7143,0.3571,0.1111,No,611
C18OOG26M8,246173,716141,2998840,2.9091,12.1818,4.1875,5489,2879,0.5245,0.0223,0.0077,0.0018,0,0,0.5016,0.0,0.0,0.0,8021,4076,0.5082,0.0326,0.0112,0.0027,0,0,0.2991,0.0,0.0,0.0,2759,1492,0.5408,0.0112,0.0039,0.0009,61527,31843,0.5175,0.2499,0.0859,0.0205,7555,2040,0.27,0.0307,0.0105,0.0025,65443,33120,0.5061,0.2658,0.0914,0.0218,6045,3302,0.5462,0.0246,0.0084,0.002,51041,26507,0.5193,0.2073,0.0713,0.017,15914,8000,0.5027,0.0646,0.0222,0.0053,223794,113259,0.5061,0.9091,0.3125,0.0746,High,563
C195W5IK7R,181853,793541,330642,4.3636,1.8182,0.4167,14603,10143,0.6946,0.0803,0.0184,0.0442,0,0,0.5035,0.0,0.0,0.0,6892,3451,0.5007,0.0379,0.0087,0.0208,0,0,0.9397,0.0,0.0,0.0,0,0,0.5821,0.0,0.0,0.0,59082,33911,0.574,0.3249,0.0745,0.1787,16516,8538,0.517,0.0908,0.0208,0.05,0,0,0.5063,0.0,0.0,0.0,5614,2810,0.5005,0.0309,0.0071,0.017,49143,29104,0.5922,0.2702,0.0619,0.1486,13471,6751,0.5012,0.0741,0.017,0.0407,165321,94708,0.5729,0.9091,0.2083,0.5,No,650
