iter	RMSE
0	59.67427478
1	55.92304159
2	53.12290496
3	51.32847291
4	49.97893825
5	48.35099806
6	47.11802143
7	46.10017461
8	44.85253589
9	43.47200431
10	42.32611312
11	41.47080063
12	40.53219712
13	39.76342244
14	39.08639097
15	38.39760037
16	37.55942128
17	36.97167184
18	36.48671139
19	35.94861359
20	35.35812022
21	35.07583401
22	34.59384123
23	34.11684342
24	33.77394006
25	33.50115929
26	33.01687846
27	32.69838316
28	32.25932673
29	32.01048187
30	31.8771245
31	31.65179871
32	31.37655556
33	31.28052174
34	31.14992099
35	30.91500106
36	30.80367862
37	30.58511586
38	30.39347192
39	30.29785172
40	30.25441375
41	30.13314703
42	29.88391242
43	29.70163131
44	29.36799881
45	29.29385605
46	29.17800147
47	28.97335182
48	28.79083708
49	28.62399953
50	28.54228132
51	28.43060135
52	28.38731797
53	28.24965693
54	28.15546317
55	28.07297614
56	28.01092809
57	27.98182748
58	27.96154659
59	27.73802875
60	27.67800265
61	27.64412249
62	27.63404347
63	27.50281775
64	27.36341023
65	27.27047741
66	27.107199
67	27.06821387
68	27.01715971
69	26.85296389
70	26.81111489
71	26.67097354
72	26.62545185
73	26.53198893
74	26.50537618
75	26.50194209
76	26.46680776
77	26.44747591
78	26.3390139
79	26.26353894
80	26.23577549
81	26.14804529
82	26.12581844
83	26.00076525
84	25.8981558
85	25.89393929
86	25.86416007
87	25.76940786
88	25.75694376
89	25.74519334
90	25.66981646
91	25.60748336
92	25.55179344
93	25.48266742
94	25.47264628
95	25.41212078
96	25.38357707
97	25.36163515
98	25.27105986
99	25.2182536
