iter	Passed	Remaining
0	91	9039
1	92	4553
2	94	3058
3	95	2295
4	96	1837
5	98	1539
6	100	1329
7	101	1163
8	101	1026
9	101	916
10	102	829
11	102	754
12	103	695
13	104	640
14	105	596
15	106	558
16	106	520
17	107	487
18	107	457
19	107	430
20	108	408
21	109	388
22	110	368
23	111	351
24	111	334
25	111	318
26	112	303
27	112	289
28	112	276
29	113	264
30	113	253
31	114	242
32	114	232
33	114	222
34	115	213
35	115	205
36	115	197
37	116	189
38	116	182
39	116	175
40	117	168
41	117	162
42	117	156
43	118	150
44	118	145
45	119	139
46	119	134
47	119	129
48	120	124
49	120	120
50	120	116
51	121	111
52	121	107
53	121	103
54	122	100
55	122	96
56	122	92
57	123	89
58	123	85
59	123	82
60	124	79
61	124	76
62	125	73
63	125	70
64	125	67
65	126	65
66	126	62
67	126	59
68	127	57
69	127	54
70	127	52
71	128	49
72	128	47
73	129	45
74	129	43
75	129	40
76	130	38
77	130	36
78	131	34
79	131	32
80	131	30
81	132	29
82	132	27
83	132	25
84	133	23
85	133	21
86	133	20
87	134	18
88	134	16
89	134	14
90	135	13
91	135	11
92	135	10
93	136	8
94	136	7
95	136	5
96	137	4
97	137	2
98	138	1
99	138	0
